Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2014,6062,5/13/2014,Acumulación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Violación al derecho a la integridad y seguridad personal,El Pitillal
2014,6062,5/13/2014,Acumulación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Hostigamiento sexual,El Pitillal
2014,6062,5/13/2014,Acumulación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Hostigamiento sexual,El Pitillal
2014,6079,5/15/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Ixtlahuacán De Los Membrillos
2014,6079,5/15/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Ixtlahuacán De Los Membrillos
2014,6879,5/30/2014,Falta de ratificación,Dirección de Seguridad Pública de Encarnación de Díaz,Dirección de Seguridad Municipal,Hostigamiento sexual,Encarnación De Díaz
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Violación,Tonalá
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Allanamiento de morada,Tonalá
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Cateos y visitas domiciliarias ilegales,Tonalá
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Robo,Tonalá
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Violación al derecho a la legalidad y seguridad jurídica,Tonalá
2014,7189,6/17/2014,Conciliación,Procuraduría General de la República,Procuraduría General de la República,Violación al derecho a la integridad y seguridad personal,Tonalá
2014,7198,6/18/2014,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2014,7198,6/18/2014,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2014,7198,6/18/2014,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Guadalajara
2014,7667,6/25/2014,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2014,7688,6/27/2014,Desistimiento,Dirección de Seguridad Pública de Tonalá,Dirección de Seguridad Municipal,Hostigamiento sexual,Tonalá
2014,7816,7/8/2014,Por no tratarse de violación de D. H.,Dirección de Seguridad Pública de Autlán,Dirección de Seguridad Municipal,Violación,Autlán De Navarro
2014,7842,7/10/2014,Archivo definitivo,Ayuntamiento de Guadalajara,Ayuntamiento,Abuso sexual,Zapopan
2014,8642,8/4/2014,Archivo definitivo,Secretaría de Salud,Secretaría de Salud,Hostigamiento sexual,Guadalajara
2014,8642,8/4/2014,Archivo definitivo,Secretaría de Salud,Secretaría de Salud,Violación a los derechos laborales,Guadalajara
2014,9308,9/8/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2014,9308,9/8/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Zapopan
2014,11021,10/27/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2014,11021,10/27/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2014,11021,10/27/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Guadalajara
2014,11294,11/5/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2014,11294,11/5/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2014,11951,12/5/2014,Conciliación,Secretaría de Salud,Secretaría de Salud,Hostigamiento sexual,Guadalajara
2014,12008,12/10/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2015,1678,2/1/2015,Por no tratarse de violación de D. H.,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Allanamiento de morada,Tlajomulco De Zúñiga
2015,1678,2/1/2015,Por no tratarse de violación de D. H.,Fuerza Única Metropolitana,Fuerza Única Metropolitana,Abuso sexual,Tlajomulco De Zúñiga
2015,1770,2/11/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2015,1770,2/11/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2015,1800,2/14/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Incumplimiento de la función pública en la procuración de justicia,Guadalajara
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Abuso sexual,Guadalajara
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Abuso sexual,Guadalajara
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Guadalajara
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Guadalajara
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Violación a los derechos del niño,Guadalajara
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Guadalajara
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Incumplimiento de la función pública en la procuración de justicia,Guadalajara
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Incumplimiento de la función pública en la procuración de justicia,Guadalajara
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Negativa de asistencia a víctimas de delito,Guadalajara
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Negativa de asistencia a víctimas de delito,Guadalajara
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Negativa de asistencia a víctimas de delito,Guadalajara
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Tesistán
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Incumplimiento de la función pública en la procuración de justicia,Tesistán
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Incumplimiento de la función pública en la procuración de justicia,Tesistán
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Negativa de asistencia a víctimas de delito,Tesistán
